Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,10,2022-01-04,3.49
1,2022-01-04,10,2022-01-13,3.53
2,2022-01-13,10,2022-01-24,3.42
3,2022-01-24,10,2022-02-02,3.48
4,2022-02-02,10,2022-02-11,3.33
5,2022-02-11,10,2022-02-23,3.51
6,2022-02-23,10,2022-03-04,3.45
7,2022-03-04,10,2022-03-15,3.39
8,2022-03-15,10,2022-03-24,3.07
9,2022-03-24,10,2022-04-04,3.23
10,2022-04-04,10,2022-04-19,3.25
11,2022-04-19,10,2022-04-28,3.26
12,2022-04-28,10,2022-05-11,3.23
13,2022-05-11,10,2022-05-23,3.23
14,2022-05-23,10,2022-06-01,3.11
15,2022-06-01,10,2022-06-13,3.18
16,2022-06-13,10,2022-06-22,3.24
17,2022-06-22,10,2022-07-01,3.12
18,2022-07-01,10,2022-07-12,3.2
19,2022-07-12,10,2022-07-22,2.89
20,2022-07-22,10,2022-08-04,2.89
21,2022-08-04,10,2022-08-16,3.18
22,2022-08-16,10,2022-08-25,3.15
23,2022-08-25,10,2022-09-05,3.32
24,2022-09-05,10,2022-09-14,3.42
25,2022-09-14,10,2022-09-23,3.48
26,2022-09-23,10,2022-10-04,3.34
27,2022-10-04,10,2022-10-17,3.32
28,2022-10-17,10,2022-10-27,3.43
29,2022-10-27,10,2022-11-07,3.55
30,2022-11-07,10,2022-11-16,3.95
31,2022-11-16,10,2022-11-25,3.43
32,2022-11-25,10,2022-12-07,3.58
33,2022-12-07,10,2022-12-19,3.8
34,2022-12-19,10,2022-12-28,3.93
