Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,17,2022-01-04,10.36
1,2022-01-04,17,2022-01-13,10.38
2,2022-01-13,17,2022-01-24,10.31
3,2022-01-24,17,2022-02-02,10.33
4,2022-02-02,17,2022-02-11,10.48
5,2022-02-11,17,2022-02-23,10.16
6,2022-02-23,17,2022-03-04,10.17
7,2022-03-04,17,2022-03-15,10.21
8,2022-03-15,17,2022-03-24,10.24
9,2022-03-24,17,2022-04-04,10.41
10,2022-04-04,17,2022-04-19,10.33
11,2022-04-19,17,2022-04-28,10.44
12,2022-04-28,17,2022-05-11,10.25
13,2022-05-11,17,2022-05-23,10.26
14,2022-05-23,17,2022-06-01,10.23
15,2022-06-01,17,2022-06-13,10.27
16,2022-06-13,17,2022-06-22,10.24
17,2022-06-22,17,2022-07-01,10.23
18,2022-07-01,17,2022-07-12,10.18
19,2022-07-12,17,2022-07-22,10.18
20,2022-07-22,17,2022-08-04,10.14
21,2022-08-04,17,2022-08-16,10.21
22,2022-08-16,17,2022-08-25,10.12
23,2022-08-25,17,2022-09-05,10.08
24,2022-09-05,17,2022-09-14,10.2
25,2022-09-14,17,2022-09-23,10.0
26,2022-09-23,17,2022-10-04,10.16
27,2022-10-04,17,2022-10-17,10.18
28,2022-10-17,17,2022-10-27,10.0
29,2022-10-27,17,2022-11-07,10.06
30,2022-11-07,17,2022-11-16,9.09
31,2022-11-16,17,2022-11-25,10.07
32,2022-11-25,17,2022-12-07,10.04
33,2022-12-07,17,2022-12-19,9.83
34,2022-12-19,17,2022-12-28,10.12
