Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.11
1,2022-01-04,7,2022-01-13,65.43
2,2022-01-13,7,2022-01-24,58.78
3,2022-01-24,7,2022-02-02,58.34
4,2022-02-02,7,2022-02-11,57.65
5,2022-02-11,7,2022-02-23,51.46
6,2022-02-23,7,2022-03-04,54.66
7,2022-03-04,7,2022-03-15,42.46
8,2022-03-15,7,2022-03-24,44.9
9,2022-03-24,7,2022-04-04,47.07
10,2022-04-04,7,2022-04-19,47.12
11,2022-04-19,7,2022-04-28,49.88
12,2022-04-28,7,2022-05-11,46.48
13,2022-05-11,7,2022-05-23,49.57
14,2022-05-23,7,2022-06-01,47.86
15,2022-06-01,7,2022-06-13,51.35
16,2022-06-13,7,2022-06-22,45.07
17,2022-06-22,7,2022-07-01,45.84
18,2022-07-01,7,2022-07-12,51.23
19,2022-07-12,7,2022-07-22,49.28
20,2022-07-22,7,2022-08-04,40.63
21,2022-08-04,7,2022-08-16,47.09
22,2022-08-16,7,2022-08-25,47.92
23,2022-08-25,7,2022-09-05,53.43
24,2022-09-05,7,2022-09-14,45.27
25,2022-09-14,7,2022-09-23,47.54
26,2022-09-23,7,2022-10-04,42.37
27,2022-10-04,7,2022-10-17,38.53
28,2022-10-17,7,2022-10-27,39.95
29,2022-10-27,7,2022-11-07,43.12
30,2022-11-07,7,2022-11-16,52.8
31,2022-11-16,7,2022-11-25,49.1
32,2022-11-25,7,2022-12-07,45.77
33,2022-12-07,7,2022-12-19,47.54
34,2022-12-19,7,2022-12-28,49.02
