Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-28,Hold,0,76.75,75.22,-1.99,1000000
2023-01-09,Hold,0,77.5,73.91,-4.63,1000000
2023-01-18,Hold,0,75.5,75.84,0.45,1000000
2023-01-27,Hold,0,74.0,74.73,0.99,1000000
2023-02-07,Hold,0,72.5,72.83,0.46,1000000
2023-02-16,Hold,0,75.0,74.78,-0.29,1000000
2023-02-27,Hold,0,71.25,72.92,2.34,1000000
2023-03-09,Hold,0,73.0,72.86,-0.19,1000000
2023-03-20,Hold,0,72.5,72.74,0.33,1000000
2023-03-29,Hold,0,74.25,73.71,-0.73,1000000
2023-04-10,Hold,0,74.0,73.46,-0.73,1000000
2023-04-21,Hold,0,73.5,73.69,0.26,1000000
2023-05-03,Hold,0,75.5,74.31,-1.58,1000000
2023-05-16,Hold,0,73.25,73.78,0.72,1000000
2023-05-25,Hold,0,72.25,73.67,1.97,1000000
2023-06-06,Hold,0,73.25,73.76,0.7,1000000
2023-06-15,Hold,0,72.0,73.71,2.37,1000000
2023-06-26,Hold,0,70.75,72.63,2.66,1000000
2023-07-05,Hold,0,73.0,72.81,-0.26,1000000
2023-07-14,Hold,0,75.25,73.91,-1.78,1000000
2023-07-25,Hold,0,76.0,73.81,-2.88,1000000
2023-08-07,Hold,0,76.25,74.36,-2.48,1000000
2023-08-17,Hold,0,76.25,75.17,-1.42,1000000
2023-08-28,Hold,0,72.75,73.38,0.87,1000000
2023-09-06,Hold,0,73.0,73.55,0.75,1000000
2023-09-15,Hold,0,72.5,74.08,2.18,1000000
2023-09-26,Hold,0,73.25,74.64,1.9,1000000
2023-10-05,Hold,0,71.75,73.25,2.09,1000000
2023-10-17,Hold,0,70.75,72.08,1.88,1000000
2023-10-27,Hold,0,69.5,70.3,1.15,1000000
2023-11-07,Hold,0,69.75,69.33,-0.6,1000000
2023-11-16,Hold,0,72.0,72.61,0.85,1000000
2023-11-27,Hold,0,70.5,71.21,1.01,1000000
2023-12-07,Hold,0,70.25,70.26,0.01,1000000
2023-12-19,Hold,0,71.25,72.02,1.08,1000000
SUMMARY,Final Result,0,N/A,N/A,N/A,1000000.0 (0.0)
