Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,136.15
1,2022-01-04,6,2022-01-13,137.85
2,2022-01-13,6,2022-01-24,142.68
3,2022-01-24,6,2022-02-02,135.73
4,2022-02-02,6,2022-02-11,143.47
5,2022-02-11,6,2022-02-23,144.53
6,2022-02-23,6,2022-03-04,178.24
7,2022-03-04,6,2022-03-15,169.97
8,2022-03-15,6,2022-03-24,155.53
9,2022-03-24,6,2022-04-04,160.75
10,2022-04-04,6,2022-04-19,164.42
11,2022-04-19,6,2022-04-28,155.72
12,2022-04-28,6,2022-05-11,146.58
13,2022-05-11,6,2022-05-23,148.11
14,2022-05-23,6,2022-06-01,143.13
15,2022-06-01,6,2022-06-13,142.6
16,2022-06-13,6,2022-06-22,145.25
17,2022-06-22,6,2022-07-01,144.46
18,2022-07-01,6,2022-07-12,149.65
19,2022-07-12,6,2022-07-22,149.36
20,2022-07-22,6,2022-08-04,145.36
21,2022-08-04,6,2022-08-16,146.78
22,2022-08-16,6,2022-08-25,149.61
23,2022-08-25,6,2022-09-05,148.37
24,2022-09-05,6,2022-09-14,155.45
25,2022-09-14,6,2022-09-23,152.27
26,2022-09-23,6,2022-10-04,150.72
27,2022-10-04,6,2022-10-17,144.5
28,2022-10-17,6,2022-10-27,154.2
29,2022-10-27,6,2022-11-07,149.5
30,2022-11-07,6,2022-11-16,153.16
31,2022-11-16,6,2022-11-25,148.96
32,2022-11-25,6,2022-12-07,143.22
33,2022-12-07,6,2022-12-19,145.91
34,2022-12-19,6,2022-12-28,143.7
